Lineage	Vsechny tydny	tyden_2022_27	tyden_2022_28	tyden_2022_29	tyden_2022_30	tyden_2022_31	tyden_2022_32	tyden_2022_33	tyden_2022_34	tyden_2022_35	tyden_2022_36	tyden_2022_37	tyden_2022_38	Total
BA.5.1	0.227	0.244	0.252	0.225	0.262	0.235	0.276	0.188	0.184	0.136	0.179	0.25	0.5	988
BA.5.2	0.208	0.137	0.179	0.182	0.215	0.207	0.207	0.196	0.248	0.359	0.241	0.25	0	904
BA.5.2.1	0.163	0.134	0.136	0.159	0.139	0.136	0.164	0.262	0.166	0.179	0.166	0.125	0.5	711
BE.1.1	0.0825	0.119	0.0769	0.113	0.0804	0.0885	0.0769	0.054	0.0767	0.0623	0.0483	0	0	359
BA.5	0.0823	0.0565	0.1	0.0828	0.0757	0.0855	0.0789	0.11	0.104	0.0293	0.0414	0.125	0	358
BF.5	0.0319	0.0268	0.0215	0.0315	0.0213	0.033	0.0335	0.034	0.0368	0.033	0.0828	0.125	0	139
BA.5.1.10	0.0264	0.0327	0.0215	0.0232	0.0307	0.039	0.0178	0.022	0.0399	0.0183	0.0069	0	0	115
BE.1	0.0216	0.0268	0.0215	0.0281	0.00946	0.0225	0.0138	0.018	0.0245	0.0256	0.0414	0	0	94
BA.2	0.0182	0.0268	0.0322	0.0232	0.0142	0.0195	0.0237	0.008	0	0.011	0	0	0	79
BF.7	0.0159	0.00298	0.00179	0.00331	0.00946	0.0105	0.0237	0.02	0.0307	0.033	0.0897	0	0	69
BA.4.1	0.00988	0.00893	0.0197	0.0182	0.00946	0.012	0	0.008	0.00307	0.00366	0	0	0	43
BA.5.3.1	0.00942	0.0149	0.0125	0.00828	0.0118	0.012	0.00592	0.008	0.00613	0.00366	0.0069	0	0	41
BA.5.2.3	0.00896	0.0268	0.0107	0.00331	0.00473	0.009	0.00394	0.008	0.00613	0.00733	0.0276	0	0	39
BA.4	0.0085	0.0357	0.00894	0.00497	0.00709	0.009	0.00789	0.002	0.00613	0.00366	0	0	0	37
BF.14	0.0085	0.00893	0.00358	0.00166	0.0142	0.003	0.00789	0.01	0.0092	0.0183	0.0345	0.125	0	37
BA.5.1.3	0.00827	0.00298	0.00716	0.00497	0.00946	0.018	0.00789	0.004	0.00307	0.0147	0.0069	0	0	36
BF.1	0.00643	0.00893	0.00894	0.00331	0.00946	0.0075	0.00394	0.002	0.00613	0.0147	0	0	0	28
BA.4.6	0.00574	0.0119	0.00716	0.00497	0.00946	0.0015	0.00986	0.006	0	0.00366	0	0	0	25
BA.2.9	0.00528	0.0179	0.0107	0.0149	0.00236	0	0.00197	0	0	0	0	0	0	23
